sex,studytime,freetime,romantic,Walc,goout,Parents_edu,absences,reason,G3,Pass
F,2,2,no,1,4,4,5,course,6,FALSE
F,2,2,no,1,3,1,3,course,6,FALSE
F,2,2,no,3,2,1,7,other,10,TRUE
F,3,1,yes,1,2,4,1,home,15,TRUE
F,2,2,no,2,2,3,3,home,10,TRUE
M,2,3,no,2,2,4,7,reputation,15,TRUE
M,2,3,no,1,4,2,0,home,11,TRUE
F,2,1,no,1,4,4,5,home,6,FALSE
M,2,1,no,1,2,3,0,home,19,TRUE
M,2,3,no,1,1,4,0,home,15,TRUE
F,2,2,no,2,3,4,0,reputation,9,FALSE
F,3,1,no,1,2,2,3,reputation,12,TRUE
M,1,2,no,3,3,4,1,course,14,TRUE
M,2,3,no,2,3,4,1,course,11,TRUE
M,3,3,yes,1,2,2,0,home,16,TRUE
F,1,3,no,2,4,4,3,home,14,TRUE
F,3,1,no,2,3,4,5,reputation,14,TRUE
F,2,2,no,1,2,3,3,reputation,10,TRUE
M,1,3,no,4,4,3,7,course,5,FALSE
M,1,1,no,3,3,4,3,home,10,TRUE
M,2,3,no,1,1,4,0,reputation,15,TRUE
M,1,3,no,1,2,4,0,other,15,TRUE
M,2,3,no,3,1,4,1,course,16,TRUE
M,2,3,no,4,4,2,0,reputation,12,TRUE
F,3,2,no,1,2,4,1,course,8,FALSE
F,1,1,no,3,2,2,7,home,8,FALSE
M,1,1,no,2,2,2,1,home,11,TRUE
M,1,1,no,4,4,4,3,other,15,TRUE
M,2,2,no,1,3,4,3,home,11,TRUE
M,2,3,yes,4,4,4,7,home,11,TRUE
M,2,3,no,4,2,4,0,home,12,TRUE
M,2,2,no,1,1,4,0,reputation,17,TRUE
M,2,3,yes,1,2,4,0,course,16,TRUE
M,2,2,no,1,2,3,0,course,12,TRUE
M,1,3,no,1,3,3,0,home,15,TRUE
F,1,3,no,1,1,3,0,other,6,FALSE
M,3,3,no,1,3,4,1,home,18,TRUE
M,3,3,yes,1,3,4,6,reputation,15,TRUE
F,3,2,no,1,2,4,1,course,11,TRUE
F,1,2,no,1,1,2,7,reputation,13,TRUE
F,2,2,yes,2,3,2,7,home,11,TRUE
M,1,3,yes,4,3,4,7,home,12,TRUE
M,2,2,no,1,3,4,1,course,18,TRUE
M,1,3,no,1,1,2,0,course,11,TRUE
F,2,2,no,2,3,2,7,course,9,FALSE
F,2,1,yes,1,2,4,7,course,6,FALSE
F,2,2,no,4,4,3,7,home,11,TRUE
M,3,1,no,1,2,4,3,reputation,20,TRUE
M,2,2,no,2,3,4,1,home,14,TRUE
F,2,3,no,1,4,4,1,other,7,FALSE
F,2,2,no,3,3,2,1,course,13,TRUE
F,2,2,no,1,3,4,1,other,13,TRUE
M,1,3,no,4,4,4,5,other,10,TRUE
F,1,2,no,3,4,4,0,course,11,TRUE
F,1,2,no,4,4,3,5,other,13,TRUE
F,2,2,yes,1,4,2,7,other,10,TRUE
F,2,2,no,1,2,4,0,reputation,15,TRUE
M,2,1,no,1,2,4,3,reputation,15,TRUE
M,2,2,no,1,2,2,1,home,9,FALSE
F,2,1,no,1,3,4,1,course,16,TRUE
F,2,3,no,3,4,4,5,other,11,TRUE
F,1,3,yes,4,4,1,5,course,11,TRUE
F,2,3,no,1,3,2,3,reputation,9,FALSE
